artist,title,album,length,popularity,id
WILLOW,Wait a Minute!,ARDIPITHECUS,196520,83,0y60itmpH0aPKsFiGxmtnh
Quavo,FLIP THE SWITCH (feat. Drake),QUAVO HUNCHO,156195,68,1rlIrbWboTRGeKfHhgbJRZ
StaySolidRocky,Party Girl,Party Girl,147800,75,5RqR4ZCCKJDcBLIn4sih9l
Beyoncé,BREAK MY SOUL,RENAISSANCE,278281,81,5pyoxDZ1PX0KxBxiRVxA4U
Young T & Bugsey,Don't Rush (feat. Headie One),Don't Rush (feat. Headie One),207640,66,0PXukVbYpvz40KcEFKnIw7
THE SCOTTS,THE SCOTTS,THE SCOTTS,165977,78,39Yp9wwQiSRIDOvrVg7mbk
SAYGRACE,Boys Ain't Shit,Boys Ain't Shit,175883,63,6vzLbfskWigBsCzNdB0kfE
Doja Cat,Boss Bitch,Boss Bitch,134239,82,78qd8dvwea0Gosb6Fe6j3k
Taylor Swift,Love Story (Taylor’s Version),Love Story (Taylor’s Version),235766,86,3CeCwYWvdfXbZLXFhBrbnf
Saweetie,Tap In,Tap In,139413,71,4Hpib09wXgD84w4uwTPnYD
Megan Thee Stallion,Savage,Suga,155497,71,55CHeLEfn5iJ0IIkgaa4si
Lil Mosey,Blueberry Faygo,Certified Hitmaker,162546,78,22LAwLoDA5b4AaGSkg6bKW
Dua Lipa,Break My Heart,Future Nostalgia,221820,80,017PF4Q3l4DBUiWoXk4OWT
Vicetone,Astronomia,Astronomia,198095,62,665AK0ovB11McZRwfa852G
Roddy Ricch,The Box,Please Excuse Me for Being Antisocial,196652,85,0nbXyq5TXYPCO7pr3N8S4I
BENEE,Supalonely,STELLA & STEVE,223480,73,4nK5YrxbMGZstTLbvj6Gxw
Drake,Toosie Slide,Dark Lane Demo Tapes,247058,72,466cKvZn1j45IpxDdYZqdA
Dua Lipa,Don't Start Now,Don't Start Now,183290,80,6WrI0LAC5M1Rw2MnX2ZvEg
Marshmello,Be Kind (with Halsey),Be Kind (with Halsey),172761,77,3Z8FwOEN59mRMxDCtb8N0A
Justin Bieber,Intentions (feat. Quavo),Changes,212866,78,4umIPjkehX1r7uhmGvXiSV
Future,Life Is Good (feat. Drake),Life Is Good (feat. Drake),237735,79,5yY9lUy8nbvjM1Uyo1Uqoc
Jack Harlow,WHATS POPPIN,WHATS POPPIN,139741,0,3Q6F8RByyhRTJpRtZLY3cg
Surfaces,Sunday Best,Where the Light Is,158571,79,1Cv1YLb4q0RzL6pybtaMLo
Doja Cat,Say So,Hot Pink,237893,81,3Dv1eDb0MEgF93GpLXlucZ
Justin Bieber,Boyfriend,Believe,171333,77,3UGIZ8qcrMTwzLbx6Kttqt
The Weeknd,In Your Eyes,After Hours,237520,81,7szuecWAPwGoV1e5vGu8tl
Powfu,death bed (coffee for your head),death bed (coffee for your head),173333,84,7eJMfftS33KTjuF7lTsMCx
Breakbot,Baby I'm Yours,By Your Side,215506,70,0tZkVZ9DeAa0MNK2gY5NtV
DaBaby,BOP,KIRK,159714,78,6Ozh9Ok6h4Oi1wUSLtBseN
JACKBOYS,OUT WEST (feat. Young Thug),JACKBOYS,157712,80,6gi6y1xwmVszDWkUqab1qw
DripReport,Skechers,Skechers,106031,0,4z2JaAVPemYJhFKm7e32RA
Arizona Zervas,ROXANNE,ROXANNE,163636,80,696DnlkuDOXcMAnKlTgXXK
Bag Raiders,Shooting Stars,Bag Raiders (Deluxe),235813,0,2lZHCWCUkxLuQ5skJhkoyS
Blanco Brown,The Git Up,The Git Up,200593,1,5dW1VZPcFqB4n0P08rGDgm
Ed Sheeran & Justin Bieber,I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),219946,80,3HVWdVOQ0ZA45FuZGSfvns
blackbear,hot girl bummer,hot girl bummer,185093,2,7aiClxsDWFRQ0Kzk5KI5ku
Maroon 5,Girls Like You (feat. Cardi B) - Cardi B Version,Red Pill Blues (Deluxe),235545,76,7fa9MBXhVfQ8P8Df9OEbD8
